Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
CAS CS 112,Introduction to Computer Science 2,(CASCS111) or equivalent.,"Covers advanced programming techniques and data structures. Topics include recursion, algorithm analysis, linked lists, stacks, queues, trees, graphs, tables, searching, and sorting. Carries MCS divisional credit in CAS.",,,,,,,,X,X,,,,,,,X,,,X
CAS CS 115,Academic Writing in Computer Science,CAS WR 120 or equivalent; CAS CS 111.,"Pre-req: WR 120 or equivalent, CS 111. This 2-credit course offers a Writing Intensive unit through the topic of computer science. Students engage with readings and discussions in current computer science issues. The course focuses on teaching critical reading, creating a strong argument, and engaging with a variety of sources.",,,,,,,,,,,,,X,,,,,,
CAS CS 131,Combinatoric Structures,,"I Fundamentals of logic (the laws of logic, rules of inference, quantifiers, proofs and inductive reasoning), fundamental principles of counting (permutations, combinations), set theory, relations and functions, principles for manipulating basic combinatoric structures.",,,,,,,,X,X,,,,,,,X,,,
CAS CS 132,Geometric Algorithms,(CASCS111 & CASMA123),"Basic concepts, data structures, and algorithms for geometric objects. Examples of topics: Cartesian geometry, transformations and their representation, queries and sampling, triangulations. Emphasis on rigorous reasoning and analysis, advancing algorithmic maturity and expertise in its application.",,,,,,,,X,X,,,,,,X,,,,
CAS CS 210,Computer Systems,(CASCS112),"Fundamental concepts of computer systems and systems programming. Hardware fundamentals including digital logic, memory systems, processor design, buses, I/O subsystems, data representations, computer arithmetic, and instruction- set architecture. Software concepts including assembly language programming, operating systems, assemblers, linkers, and systems programming in C.",,,,,,,,X,X,,,,,,,,,,
CAS CS 235,Algebraic Algorithms,,"I Undergraduate Corequisites: CASCS132 recommended. - Basic concepts and algorithms for manipulation of algebraic objects, such as residues, matrices, polynomials; and applications to various CS areas, such as cryptography and fault-tolerance. Emphasis on rigorous reasoning and analysis.",,,,,,,,X,X,,,,,,,,,,
CAS CS 237,Probability in Computing,(CASCS131),"Introduction to basic probabilistic concepts and methods used in computer science. Develops an understanding of the crucial role played by randomness in computing, both as a powerful tool and as a challenge to confront and analyze. Emphasis on rigorous reasoning, analysis, and algorithmic thinking.",,,,,,,,X,X,,,,,,,X,,,
CAS CS 320,Concepts of Programming Languages,(CASCS131 & CASCS210),"Concepts involved in the design of programming languages. Bindings, argument transmission, and control structures. Environments: compile-time, load-time, and run-time. Interpreters.",,,,,,,,,,,,,,,,,,,X
CAS CS 330,Introduction to Analysis of Algorithms,,I Prerequisites: CASCS 112 and CASCS 131 and one of the following: CASCS 132/MA242 or CASCS 235/MA294 or CASCS 237/MA581. - Examines the basic principles of algorithm design and analysis; asymptotic analysis; graph algorithms; greedy algorithms; dynamic programming; network flows; polynomial- time reductions; NP-hard and NP-complete problems.,,,,,,,,X,X,,,,,,,X,,,
CAS CS 332,Elements of the Theory of Computation,(CASCS330),"The basic concepts of the theory of computation are studied. Topics include models of computation, polynomial time, Church's thesis; universal algorithms, undecidability and intractability; time and space complexity, nondeterminism, probabilistic computation and reductions of computational problems.",,,,,,,,,,,,,,,,,,,
CAS CS 350,Fundamentals of Computing Systems,CASCS 210,"Programming-centric introduction to computer systems. The course discusses system design principles, performance analysis, communication and synchronization primitives, concurrency control, database transactions, data consistency, task and data parallelism, replication, fault tolerance, and distributed consensus. NOTE: CASCS 350 and CASCS 351 fulfill the same major requirement (“take two of the 3 courses in CS 320, CS 332, CS 350”). Students are allowed to take both CS 350 and CS 351 for credit. In this case one of the two will be applied towards electives in the major.",,,,,,,,,,,,,,,,,,,
CAS CS 351,Distributed Systems,,"Prerequisites: CASCS 210. - Covers fundamental concepts of distributed computing (logical clocks, causal order, snapshots, consensus, atomic commit), communication and synchronization primitives, concurrency control, task and data parallelism, data consistency, replication, and fault tolerance. NOTE: CASCS 350 and CASCS 351 fulfill the same major requirement (“take two of the 3 courses in CS 320, CS 332, CS 350”). Students are allowed to take both CS 350 and CS 351 for credit. In this case one of the two will be applied towards electives in the major.",,,,,,,,,,,,,,,,,,,
CAS CS 357,Introduction to Information Security,(CASCS210) or consent of instructor.,"Provides basic concepts needed for understanding information security. Discusses vulnerabilities, design principles, basic algorithms, security definitions, and analytical methods. Covers system security, network security, web security, cryptography, and data privacy. Also addresses social, ethical, and policy aspects of security.",,,,,,,,,,,,,,,,,,,
CAS CS 365,Foundations of Data Science,CAS CS112 and CAS CS131 and CAS CS132 and CAS CS237 (or equivalent). O r consent of instructor. Recommended: CAS CS330.,"Lays the foundation towards more advanced data-intensive classes, such as Data Science, Machine Learning, Data Mining. The course provides an understanding of the fundamentals and the practical implications of concepts. It covers both theoretical skills as well as working/practical knowledge.",,,,,,,,,,,,,,,,,,,
CAS CS 391,Topics in Computer Science,,"Topics vary, course descriptions for each semester can be found at https://www.bu.edu/cs/undergraduate/courses/topics/. Different sections of the course may be taken for credit as topics vary.",,,,,,,,,,,,,,,,,,,
CAS CS 392,Topics in Computer Science,,"Topics vary, course descriptions for each semester can be found at https://www.bu.edu/cs/undergraduate/courses/topics/. Different sections of the course may be taken for credit as topics vary.",,,,,,,,,,,,,,,,,,,
CAS CS 401,Senior Independent Work,approval of the Honors Committee.,,,,,,,,,,,,,,,,,,X,,
CAS CS 402,Senior Independent Work,approval of the Honors Committee.,,,,,,,,,,,,,,,X,,,,,
CAS CS 410,Advanced Software Systems,(CASCS210),"Systems programming including such topics as project management, tools, I/O networking, multiprocessing, exception handling, and system services. Other topics are explored using C and Perl under the UNIX operating system. Requires a working knowledge of the C programming language and experience with UNIX as a user, or equivalent.",,,,,,,,,,,,,,,,,,,
CAS CS 412,Full-Stack Application Design and Development,(CASCS111 & CASCS112 & CASCS411) or consent of instructor.,Introduction to design and development of full-stack web applications. Topics include asynchronous programming; non-relational data stores; use of APIs; serverless (cloudbased) applications; decoupled client/server architectures; performance; testing; packaging; and deployment. Examines current and proposed technology stacks.,,,,,,,,,,,,,,,,,,,
CAS CS 440,Introduction to Artificial Intelligence,(CASCS112 & CASCS132),"Introduction to computer systems that exhibit intelligent behavior, in particular, perceptual and robotic systems. Topics include human computer interfaces, computer vision, robotics, game playing, pattern recognition, knowledge representation, planning.",,,,,,,,,,,,,,,,,,,
CAS CS 451,Distributed Systems,(CASCS210),"Programming-centric introduction to how networks of computers are structured to operate as coherent single systems. Introducing principles of architecture, processes, communications, naming, synchronization, consistency and replication, fault tolerance and security, and paradigms such as web-based, object-based, file system, and consistency-based.",,,,,,,,,,,,,,,,,,,
CAS CS 454,Embedded Systems Development,(CASCS210),"Lab-based course exploring concepts, techniques, best practices, and tools for the development of connected embedded systems, including: signal processing; sensing, control and actuation; programming and debugging on microprocessors; 1/0 interfacing and development of device drivers; and time-critical data handling.",,,,,,,,,,,,,,,,,,,
CAS CS 455,Computer Networks,(CASCS210),"Concepts underlying the design of high-performance computer networks and scalable protocols. Topics include Internet design principles and methodology, TCP/IP implementation, packet switching and routing algorithms, multicast, quality of service considerations, error detection and correction, and performance evaluation.",,,,,,,,,,,,,,,,,,,
CAS CS 460,Introduction to Database Systems,(CASCS112),"Introduction to database management systems. Examines entity-relationship, relational, and object-oriented data models; commercial query languages: SQL, relational algebra, relational calculus, and QBE; file organization, indexing and hashing, query optimization, transaction processing, concurrency control and recovery,integrity, and security.",,,,,,,,,,,,,,,,,,,
CAS CS 480,Introduction to Computer Graphics,(CASCS112 & CASCS132),"Introduction to computer graphics algorithms, programming methods, and applications. Focus on fundamentals of two- and three-dimensional raster graphics: scan-conversion, clipping, geometric transformations, and camera modeling. Introduces concepts in computational geometry, computer-human interfaces, animation, and visual realism.",,,,,,,,,,,,,,,X,,,,
CAS CS 491,Directed Study,"sophomore or higher standing, consent of instructor, and a completed D irected Study Application form.","Independent study in Computer Science under the guidance of a faculty member. Student and supervising faculty member arrange and document expectations and requirements. Examples include internship opportunities for academic credit, in-depth study of a special topic, or independent research project.",,,,,,,,,,,,,,,,,,,
CAS CS 492,Directed Study,"sophomore or higher standing, consent of instructor, and a completed D irected Study Application form.","Independent study in Computer Science under the guidance of a faculty member. Student and supervising faculty member arrange and document expectations and requirements. Examples include internship opportunities for academic credit, in-depth study of a special topic, or independent research project.",,,,,,,,,,,,,,,,,,,
CAS CS 501,Computer Science Practicum,,Various applications of computer science that vary semester to semester. Please contact the CAS Computer Science Department for detailed descriptions.,,,,,,,,,,,,,,,,,,,
CAS CS 505,Introduction to Natural Language Processing,(CASCS365),Natural language processing (NLP) is a field of AI which aims to equip computers with the ability to intelligently process natural (human) language. This course explores statistical and machine learning techniques for the automatic analysis of natural language data.,,,,,,,,,,,,,,,,,,,
CAS CS 506,Data Science Tools and Applications,CAS CS 108 or CAS CS 111; CAS CS 132 or CAS MA 242 or CAS MA 442. CAS CS 112 is recommended.,"Covers practical skills in working with data and introduces a wide range of techniques that are commonly used in the analysis of data, such as clustering, classification, regression, and network analysis. Emphasizes hands-on application of methods via programming.",,,,,,,,,,,,,,,,,X,X,
CAS CS 511,Formal Methods 1,(CASCS320 OR CASCS330 OR CASCS350),"Introduction to formal specification, analysis, and verification of computer system behavior. Topics include formal logical reasoning about computer programs and systems, automated and semi-automated verification, and algorithmic methodologies for ascertaining that a software system satisfies its formally specified properties. Cannot be taken for credit in addition to the course with the same number formerly entitled ""Object-Oriented Software Principles.""",,,,,,,,,,,,,,,,,,,
CAS CS 516,Software Foundations via Formal Languages,(CASCS320 & CASCS330) or equivalent courses approved by the instructor.,"Study of the hierarchy of formal languages with a focus on algorithms on the formalisms. Experimentation with these algorithms using a computer toolset. Applications of these algorithms to compiler construction, implementation of finite-state control devices, and formal methods.",,,,,,,,,,,,,,,,,,,
CAS CS 519,Spark! Software Engineering X-Lab Practicum,(CASCS 411 OR CDSDS 310) or equivalent experience in software development and consent of instructor.,"Consent provided upon successful completion of pass/fail diagnostic test that assesses student readiness to take the course. This course offers students in computing disciplines the opportunity to apply their programming and system development skills by working on real-world projects provided from partnering organizations within and outside of BU, which are curated by Spark! The course offers a range of project options where students can improve their technical skills, while also gaining the soft skills necessary to deliver projects aligned to the partner's goals. These include teamwork and communications skills and software development processes.",,,,,,,,,,,,X,,X,,,,X,
CAS CS 523,Deep Learning,,"Prerequisites: CASCS 541 or CASCS 542 - Mathematical and machine learning background for deep learning. Feed-forward networks., Backpropagation. Training strategies for deep networks. Architectures such as convolutional, recurrent, transformer networks. Deep reinforcement and unsupervised learning. Exposure to modern programming tools and libraries. Other recent topics, time permitting.",,,,,,,,,,,,,,,,,,,
CAS CS 525,Compiler Design Theory,(CASCS 320) or consent of instructor.,"Graduate Prerequisites: (CASCS 320 OR CASCS 332) - Covers the basic mathematical theory underlying the design of compilers and other language processors and shows how to use that theory in practical design situations. Topics may include lexical analysis, parsing, syntax-directed translation, code optimization, and code generation.",,,,,,,,,,,,,,,,,,,
CAS CS 528,Cloud Computing,"(CASCS350 & CASCS460) or consent of instructor. CASCS455, CASCS552, and CASCS562 are recomme nded.","Fundamentals of cloud computing covering IaaS platforms, OpenStack, key Big Data platforms, and data center scale systems. Examines influential publications in cloud computing. Culminates in a group project supervised by a mentor from industry or academia.",,,,,,,,,,,,,,,,,,,
CAS CS 530,Advanced Algorithms,(CASCS330) or consent of instructor.,"Graduate Prerequisites: (CASCS330) or consent of instructor. - Studies the design and efficiency of algorithms in several areas of computer science. Topics are chosen from graph algorithms, sorting and searching, NP-complete problems, pattern matching, parallel algorithms, and dynamic programming.",,,,,,,,,,,,,,,,,,,
CAS CS 531,Advanced Optimization Algorithms,"CAS MA 123 & 124, or equivalent and CAS CS 132 or equivalent; or conse nt of instructor.","Optimization algorithms, highlighting the fruitful interactions between discrete and continuous. Intended audience is advanced master students and doctoral students. Topics include gradient descent algorithms, online optimization, linear and semidefinite programming, duality, network optimization, submodular optimization, approximation algorithms via continuous relaxations.",,,,,,,,,,,,,,,,,,,
CAS CS 535,Complexity Theory,(CASCS332) or consent of instructor.,"Graduate Prerequisites: (CASCS332) - Covers topics of current interest in the theory of computation chosen from computational models, games and hierarchies of problems, abstract complexity theory, informational complexity theory, time-space trade-offs, probabilistic computation, and recent work on particular combinatorial problems.",,,,,,,,,,,,,,,,,,,
CAS CS 538,Fundamentals of Cryptography,(CASCS131 & CASCS237 & CASCS357) or consent of instructor.,"Graduate Prerequisites: (CASCS332) - Basic Algorithms to guarantee confidentiality and authenticity of data. Definitions and proofs of security for practical constructions. Topics include perfectly secure encryption, pseudorandom generators, RSA and Elgamal encryption, Diffie-Hellman key agreement, RSA signatures, secret sharing, block and stream ciphers.",,,,,,,,,,,,,,,,,,,
CAS CS 541,Applied Machine Learning,CS111 (CS112 recommended); CS132 or MA242 (or EK103); CS237 or MA581 ( or EK381.) CS365 is recommended.,"Covers practical skills in machine learning including techniques for clustering, classification, regression, feature selection, and model compression. Emphasizes hands-on application of methods via programming on real- world datasets.",,,,,,,,,,,,,,,,,,,
CAS CS 542,Principles of Machine Learning,(CASCS365),"Introduction to modern machine learning concepts, techniques, and algorithms. Topics include regression, kernels, support vector machines, feature selection, boosting, clustering, hidden Markov models, and Bayesian networks. Programming assignments emphasize taking theory into practice, through applications on real-world data sets.",,,,,,,,,,,,,,,,,,,
CAS CS 543,Algorithmic Techniques for Taming Big Data,exposure to basic data structures and algorithms or consent of instruc tor.,"Growing amounts of available data lead to significant challenges in processing them efficiently. In many cases, it is no longer possible to design feasible algorithms that can freely access the entire data set. Instead of that we often have to resort to techniques that allow for reducing the amount of data such as sampling, sketching, dimensionality reduction, and core sets. Also explores scenarios in which large data sets are distributed across several machines or even geographical locations and the goal is to design efficient communication protocols or MapReduce algorithms. Includes a final project and programming assignments in which we explore the performance of our techniques when applied to publicly available data sets.",,,,,,,,X,X,,,,,,,,,,X
CAS CS 548,Advanced Cryptography,(CASCS 538) or consent of instructor.,"Continuation of CASCS 538. Advanced techniques to preserve confidentiality and authenticity against active attacks, zero-knowledge proofs; Fiat-Shamir signature schemes; non-malleable public-key encryption; authenticated symmetric encryption; secure multiparty protocols for tasks ranging from Byzantine agreement to mental poker to threshold cryptography.",,,,,,,,,,,,,,,,,,,
CAS CS 549,Spark! Machine Learning X-Lab Practicum,(CASCS505 OR CASCS542 OR CASCS585) or consent of instructor. Consent provided upon successful completion of pass/fail diagnostic test that will assess student readiness to tak e the course.,"The Spark! Practicum offers students in computing disciplines the opportunity to apply their knowledge in algorithms, inferential analytics, and software development by working on real-world projects provided from partnering organizations within BU and from outside. The course offers a range of project options where students can improve their technical skills, while also gaining the soft skills necessary to deliver projects aligned to the partner's goals. These include teamwork and communications skills and software development processes. All students participating in the course are expected to complete a project focused on an application of inferential analytics or machine learning, including a final presentation to the partner organization.",,,,,,,,,,,,X,,,,,X,X,
CAS CS 551,Streaming and Event-driven Systems,CAS CS 112 and CAS CS 210; CAS CS 451 and CAS CS 460 or consent of ins tructor.,Fundamentals of stream processing and event-driven systems. Topics include Pub/Sub systems; Distributed streaming systems; Dataflow programming; Fault-tolerance and processing guarantees; State management; Windowing semantics; Complex event processing; Microservice architectures; Serverless functions; Examines current and emerging architectures and use-cases.,,,,,,,,,,,,,,,,,,,
CAS CS 552,Introduction to Operating Systems,"(CASCS 112 & CASCS 210) and competency with C/C++. CASCS 350 is recommended, or consent of instructor.","Examines process synchronization; I/O techniques, buffering, file systems; processor scheduling; memory management; virtual memory; job scheduling, resource allocation; system modeling; and performance measurement and evaluation.",,,,,,,,,,,,,,,,,,,
CAS CS 561,Data Systems Architectures,CAS CS 210 or equivalent and CAS CS 460/660.,"Discusses the design of data systems that can address the modern challenges of managing and accessing large, ever-growing, diverse sets of data, often streaming from heterogenous sources, in the context of continuously evolving hardware and software. We use examples from several data management areas including relational systems, distributed database systems, key value stores, newSQL and NoSQL systems, data systems for machine learning (and machine learning for data systems), interactive analytics, and data management as a service.",,,,,,,,,,,,,,X,,,X,,
CAS CS 565,Algorithmic Data Mining,(CASCS 112 & CASCS 330 & CASCS 365).,"Introduction to data mining concepts and techniques. Topics include association and correlation discovery, classification and clustering of large datasets, outlier detection. Emphasis on the algorithmic aspects as well as the application of mining in real-world problems.",,,,,,,,,,,,,,,,,,,
CAS CS 581,Computational Fabrication,CAS CS 112 and CAS CS 132 or CAS MA 242; CAS 480/GRS CS 680 recommende d.,Introduces 3D printing technology and computational methods for creating physical prototypes from geometric models. Student-led paper presentations cover research from prominent Computer Graphics and Human Computer Interaction conferences. Culminates in a design project involving a computational component and physical prototyping.,,,,,,,,,,,,,,,,,,,
CAS CS 582,Geometry Processing,"CAS CS 112 (or equivalent), CAS CS 132 or CAS MA 242 (or equivalent), CAS MA 225 (or equivalent).","Algorithms and data structures for digital processing of triangle meshes and point clouds. Topics include: surface smoothing, parametrization, and deformation; half- edge data structures; discretized curvature measures; and spectral analysis of surfaces. Numerical methods for linear algebra and optimization also discussed.",,,,,,,,,,,,,,,,,,,
CAS CS 585,Image and Video Computing,(CASCS132 OR CASMA242) and CASCS112 or equivalent programming experience and familiarity with calculus.,"Introduction to images and video as multimedia data types and algorithms for image and video understanding based on color, shading, stereo, and motion. Topics include face recognition, human-computer interfaces, animal and vehicle tracking, and medical image analysis.",,,,,,,,,,,,,,,,,,,
CAS CS 595,Blockchains and their Applications,,"Blockchain technology amalgamates technical tools, economic mechanisms, and system design patterns. It facilitates the construction of information systems with novel combinations of robustness, decentralization, privacy, cost, and flexibility. Beyond their initial use in cryptocurrencies such as Bitcoin, blockchains have become a promising and powerful technology in business, financial services, law, and other areas. This course covers blockchain technology in a comprehensive, systematic, and interdisciplinary way. It surveys major approaches, variants, and applications of blockchains in these areas. Beyond a solid grasp of the principles, the course aims to build familiarity with practice through numerous case studies and hands-on projects. To facilitate its interdisciplinary perspective, this course will be open to two categories of students: students with Computer Science background (graduate or advanced undergraduate), and graduate students with a substantial Business or Law background and a working knowledge of computer programming. Projects will be done in heterogeneous teams combining these categories, and will center on devising and analyzing sample applications of blockchain technology, including both prototype implementations and analysis of its business/legal implications. Topics covered: disentangling 'blockchain'; cryptographic prerequisites; assets and their representations; on-chain programming; state consensus; deployments; decentralized applications (Dapps/Web3); protocol governance; protocol revenue and business models; market structure; privacy and authorization; regulation. Notes for Questrom students: While this course is explicitly designed to accommodate Questrom students, its formal listing this year is as a Computer Science. Thus, to count as an elective towards Questrom graduate degree requirements, you need to submit a Graduate Elective Request.",,,,,,,,,,,,,,,,,,,
CAS CS 599,Advanced Topics in Computer Science,,Various advanced topics in computer science that vary semester to semester. Please contact the CAS Computer Science Department for detailed descriptions.,,,,,,,,,,,,,,,,,,,
CAS EC 101,Introductory Microeconomic Analysis,,"The first semester of a standard two-semester sequence for those considering further work in management or economics. Coverage includes economics of households, business firms, and markets; consumer behavior and the demand for commodities; production, costs, and the supply of commodities; price determination; competition and monopoly; efficiency of resource allocation; governmental regulation; income distribution; and poverty. In 2019-20 this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Ethical Reasoning, Critical Thinking.",,,,X,,,,,,,,X,,,,X,,,
CAS EC 102,Introductory Macroeconomic Analysis,,"The second semester of a standard two-semester sequence for those considering further work in management or economics. National economic performance; the problems of recession, unemployment, and inflation; money creation, government spending, and taxation; economic policies for full employment and price stability; and international trade and payments. Carries social science divisional credit in CAS.",,,,X,,,,,,,X,,,,,,,,
CAS EC 201,Intermediate Microeconomic Analysis,(CASEC101) and (CAS MA 121 or CAS MA 123) or equivalent.,Determination of commodity prices and factor prices under the differing market conditions of competition and monopoly.,,,,X,X,,,,,,,,,,,X,,,
CAS EC 202,Intermediate Macroeconomic Analysis,(CASEC102),Determination of aggregate income and employment. Analysis of fiscal and monetary policy. Inflation and income policy. Problems of the open economy.,,,,X,X,,,,,,,,,,,X,,,
CAS EC 203,Empirical Economics 1,(CASEC101 & CASEC102),First semester of a two-semester sequence of empirical techniques used in economic analysis. Statistical concepts are presented and applied to a variety of economics problems. Extensive use of the statistical software package STATA will be made.,,,,,,,,X,,,,,,,,,,,
CAS EC 204,Empirical Economics 2,(CASEC101 & CASEC102) and CAS EC203 (or equivalent).,"Second semester of a two-semester sequence of empirical techniques used in economic analysis. Statistical concepts are presented and applied to a variety of economics problems. Extensive use of the statistical software package STATA will be made. Builds on the material in EC203, developing more complex statistical techniques and applications.",,,,,,,,X,X,,,,,,,,X,,
CAS EC 221,Intermediate Microeconomic Theory,(CASEC101 & CASEC102 & CASMA225),A mathematically rigorous approach to intermediate microeconomic theory.,,,,X,X,,,X,,,,,,,,X,,,
CAS EC 222,Intermediate Macroeconomic Theory,"CAS EC 101, CAS EC 102, CAS MA 225, as well as CAS EC 221.",A mathematically rigorous approach to intermediate macroeconomic theory.,,,,X,X,,,X,,,,,,,,X,,,
CAS EC 223,Statistical Analysis,(CASEC101 & CASEC102 & CASMA225),"This is an introductory mathematical statistics course, covering probability theory, statistical inference and an introduction to regression analysis. The course aims at providing students with the necessary background to progress to higher level econometrics and applied economics courses.",,,,,,,,X,,,,,,,,X,,,
CAS EC 224,Econometric Analysis,(CASEC101 & CASEC102 & CASEC223 & CASMA225 & CASMA242),"Standard econometric methods for empirical economic research, developed in a mathematically rigorous framework using linear algebra.",,,,,,,,X,X,,,,,,,X,,,
CAS EC 320,Economics of Less-Developed Regions,(CASEC101 & CASEC102),Theoretical and empirical examination of the structural changes associated with the process of economic development; special reference to poor regions and countries; rigorous analysis of criteria for policy judgments in developing planning and programming.,,,,X,X,,,,,,,X,,,,,,,
CAS EC 323,Behavioral Economics,(CASEC201 & CASEC203),"Introduction to a new field in economics that challenges the traditional model of rational decision-making and uses research in psychology to construct alternative models. Covers the theory of choice under certainty, uncertainty, and temptation; biases in judgment; social preferences.",,,,X,X,,,,,,,,,,,X,,,
CAS EC 325,The Economics of Poverty and Discrimination in the United States,(CASEC201 & CASEC305) (or CASEC203 or CASEC303).,Examines who is poor in the United States and how the evidence of poverty has changed over time. Various economic theories for the causes of poverty and discrimination are presented for examination and discussion.,,,,,,,,X,X,X,,,,,,X,,,
CAS EC 328,Urban and Regional Economics,(CASEC201 & CASEC203),"Provides a broad introduction to modern regional and urban economics. In the first part of the course, we attempt to understand how and why cities grow and develop. In the second part of the course, we try to analyze why cities adopt different policies. In the third part of the course, we overview the issues of neighborhood inequality and segregation. If time remains, we will overview several other recent topics about urban and regional economics.",,,,X,X,,,X,X,,,,,,,,,,
CAS EC 332,Market Structure and Economic Performance,(CASEC201),"Structure of the American economy. The theory of imperfect competition. Topics include firm concentration and conglomeration, consumer ignorance and market failure, and advertising and technological change as part of market performance.",,,,X,X,,,X,X,,,,,,,X,,,
CAS EC 333,Market Organization and Public Policy,(CASEC201 OR CASEC332),"Introduction to antitrust and regulatory policy. Studies sources of market inefficiency and historical and current policy towards topics such as collusion, merger, monopolization, and regulatory treatment of competition issues.",,,X,,,,,,,,,X,,,,X,,,
CAS EC 337,Economic Analysis of Legal Issues,"(CASEC201) First Year Writing Seminar (e.g., WR 100 or WR 120)","Economic analysis of current important legal issues. Contributions of economics to analysis of contracts, torts property, and crime. Effects of property rights on allocation of resources and distribution of income. Market and nonmarket schemes of regulating the environment.",,,,,,,,,,,,X,X,,,,X,,
CAS EC 341,Monetary and Banking Institutions,(CASEC202),Survey of commercial and central banking institutions. Examination of macro relations between financial organizations and principal objectives of stabilization policy.,,,,X,,,,,,,,,,,,X,,,
CAS EC 342,Monetary and Banking Theory,(CASEC341) or consent of instructor.,"After a brief survey of the development of modern monetary theory, concentration on selected theoretical aspects of monetary economics and financial organization covered in CAS EC 341. Additional emphasis on capital theory and macroeconomic models. Research paper required.",,,,X,X,,,,,,,,,,,,X,,
CAS EC 348,Dynamic Macroeconomics,(CASEC202),"Studies macroeconomics as a process evolving over time with applications to the dynamics of growth, recessions, fiscal policy, inflation, international trade and banking.",,,,,,,,,,,,,,,,,,,
CAS EC 356,Economics of the Labor Market,(CASEC201),"Application of current theories of labor supply and demand, wages, education and experience, immigration, labor efficiency, discrimination, and unemployment. Appraisal of the effects of government policies on labor markets.",,,,X,X,,,X,X,,,,,,,,,,
CAS EC 358,Economics of Education,"(CASEC201 & CASEC204) or equivalent, or consent of the instructor.","Uses economic models to understand individuals' decision to invest in education, analyzes the effect of education, and examines policies impacting K-12 and higher education in the US. A variety of econometric methods are utilized throughout the course.",,,,X,X,,,X,X,,,,,,,,,,
CAS EC 363,Race and the Development of the American Economy: A Global Perspective,(CASEC 101) or consent of instructor.,(Meets with CASAA 363.) Surveys the economic history of African Americans within the context of the long run development of the American and global economies. Topics include basic features of American economic growth in the long run; the economics of slavery; the Civil War and the aftermath of slavery; the evolution of racial inequality from the end of the Civil War to the present.,,,X,X,X,,,,,,,,,,,,,,
CAS EC 365,Economic Institutions in Historical Perspective,CASEC 201 and CASEC 202.,"Historical development of state finance since antiquity. Topics include the impact of geography and climate, the interaction of political and economic interests, income distribution, and ideological support for economic policies. Some comparisons will be made between developments in the East and West.",,,X,,,,,X,,,,,,,,,,,
CAS EC 367,Economics of the Public Sector,(CASEC201),Basic principles of public finance; consideration of classical and modern attitudes toward government revenues and expenditures. Survey of problems related to public debt and budget making. Evaluation of fiscal policy as an instrument of control.,,,,X,X,,,X,X,,,,,,,,,,
CAS EC 368,Contemporary East Asian Economics,(CASEC101 & CASEC102),"Meets with CAS IR 368. An introduction to the economic history and institutions of Japan, Korea, Taiwan, and China. Topics include structural change, trade, labor markets, corporate organization, financial systems, and macroeconomic and industrial policy.",,,,X,,,,,,,X,,,,,,,,
CAS EC 369,Economic Development of Latin America,(CASEC101 & CASEC102),"Contemporary issues of economic and social policy. Macroeconomic issues: inflation, stabilization, and the debt crisis. Foreign trade and economic restructuring. Poverty and income distribution. Role of the state.",,,X,,,,,,,,X,,,,,X,,,
CAS EC 370,The Chinese Economy,(CASEC201 & CASEC202 & CASEC203),Introduces the working of the Chinese economy. Combines historical-institutional and theoretical- quantitative approaches to study the transformation of China's economy into a market economy with special characteristics.,,,,,,,,,,,,,,,,,,,
CAS EC 371,Environmental Economics,(CASEC201),"Role of economics in environmental planning. Economic analysis of the causes of pollution and its control through taxes, the use of property rights, and standards. Application of cost-benefit models as an aid in policy decisions affecting the environment.",,,,,,,,,,,X,X,,,,,,X,
CAS EC 377,"Government, Business, and Labor",(CASEC 201),"Examines economic growth from the perspective of the structure, conduct, and performance of business. Combines economic theories of conduct and strategy with industry case studies and evaluates the effect of government policy toward business and labor on the performance of the economy.",,,,,,,,,,,,,,,,,,,
CAS EC 379,"Firms, Markets, and Economic Development",,"Examines the interlinked roles of business and politics in the process of economic development, with the objective of providing a framework for understanding how the private and public sectors work together to help (or impede) economic growth.",,,,,,,,,,,,,,,,,,,
CAS EC 385,Economics of Sports,(CASEC201 & CASEC203),"Applies the tools of microeconomic theory and empirical methods to study such questions as the optimal design of sports leagues, the impact of new stadiums on a local economy, fan (customer) discrimination, and salary differentials between players.",,,,X,X,,,,,,,,,,,X,,,
CAS EC 387,Introduction to Health Economics,(CASEC201),"Concepts of health economics for US and international settings. Topics include models and empirical analyses of moral hazard, adverse selection, health care systems, health insurance, hospital and physician behavior, pharmaceutical markets, consumer demand, alternative payment systems, risk, fairness, imperfect information, and topics in experimental and behavioral economics.",,,,X,X,,,X,,,,,,,,,,,
CAS EC 390,Special Topics in Economics,,Topics and pre-requisites vary. May be repeated for credit if topic is different. One topic is offered in Spring 2024. Section A1: Political Economy. Studies models of political competition to understand how societies decide on public policies. Discusses the idea of rational choice for a society when the members of that society differ in how they rank different alternatives. Models are applied to public policy issues such as income redistribution and political corruption.,,,,,,,,,,,,,,,,,,,
